Authors,Year,Country first Author Affiliation,Journal,publisher,venue_domain,Full author information (please provide full first names),Title,"architecture = 1 urbanism = 2 
nature = 3",Research Topic,Research Topic - Fine grained,Motivation,Special Sample,num_participants,age_range,mean_age_participants,sex_perc_male,input_modality_cat,input_modality,stimulus material (visual),EEG_system_mobile_stationary,Protocoll_Lab_Real-world,lab_realworld_binary,EEG_system,EEG_company,System grade (medical vs consumer),SR_in_Hz,filters_amp,online_filters,num_channels,electrode_type,electrode_locations,Impedance,reference,offline_filters,Offline_High-Pass_(Hz),Offline_Low-Pass_(Hz),channel_interpolation,artifact_rejection,participant_mobility_score,system_mobility_score,EEG_parameter_space,Subj_Behave_Parameter_space,EEG_features_cat,alpha_para,independent_Variable,dependent_Variable,analyzed ROIs/electrode locations,interpretation of parameter,Theories used for interpretation,other_measures,Pre-Reg_Open-Data,Fusion EEG-Subjective,Fusion EEG-Other Modalities,analysis_Approach,ica_used,Data Availability,DOI_ /_Link,added date,Contributor,edited date,edited by,Edited what,Full paper / conference proceeding,changes (student assistants)
Wang et al.,2025,China,Buildings,MDPI,Architecture / Design / Built Environment,"Xudong Wang, Jiali Mo, Yuqi Zhou, and Ziyu Long",Psychophysiological Effects of Shooting Tree Light Colors on Alertness: A Controlled Laboratory Study,2,Nature & restorative environments,Forest & woodland exposure,Design optimisation,0,60,NA,41.08,50%,visual,1,still images,stat,Lab,1,Kingfar Ergolab,Kingfar,consumer,1024,NA-NA,0,16,NA,1,0,0,0,NA,NA,0,0,"1 - Lying, sitting, or standing with localised movement, for example, finger tapping or button pressing",4 - Head-mounted and requires smartphone/tablet,"Frequency domain, 𝛽",Karolinska Sleepiness Scale,2,0,Different hues of lights to illuminate trees,PSD 𝛽,"frontal, parietal",alertness,NA,NA,No,0,0,9 = NA,0,1,https://doi.org/10.3390/buildings15162907,04.09.2025,Klaus,,,,,
Wang et al.,2025,China,Cities,Elsevier,Architecture / Design / Built Environment,"Liya Wang, Zhe Li, Yulong Zhao, Haonan Ding, and Xinying Wu",Landscape follows attention: quantitative research on the attention utility of living street scenes based on electroencephalogram rhythms analysis,2,Methods & technology,Streetscapes & pedestrian experience,Methodological development,0,43,NA,NA,NA,visual,1,still images,stat,Lab,1,ANT mylab,ANT Neuro,medical,512,NA-NA,0,7,NA,1,0,0,0,NA,NA,0,0,"1 - Lying, sitting, or standing with localised movement, for example, finger tapping or button pressing",1 - Waist-mounted (or back-mounted) with additional equipment located in a rucksack,"Frequency domain, 𝜃, ⍺, 𝛽",Stroop,2,1,"Different features of urban scenes that catch the attention of observers, including pavement, facility types, street business etc.","PSD 𝜃, ⍺, 𝛽","occipital, parietal, temporal",NA,NA,NA,No,0,0,1 = ICA,1,1,https://doi.org/10.1016/j.cities.2025.106135,28.06.2025,Klaus,,,,,
Wang et al.,2025,China,Scientific Reports,Springer Nature,Multidisciplinary,"Mingmei Wang, Nan Zhang, Lin Yang, Wengan Zhang, and Weijun Gao",Impact of visual preferences for indoor green walls on emotion and brain activity of college students,1,Nature & restorative environments,Window views & indoor nature exposure,Design optimisation,0,26,18-28,22.12,50%,visual,1,virtual reality (HMD),stat - HMD,Lab,1,Emotiv Epoc Flex,Emotiv,consumer,128,NA-NA,0,32,semi-dry,0,0,1,1,1,45,0,0,"1 - Lying, sitting, or standing with localised movement, for example, finger tapping or button pressing",4 - Head-mounted and requires smartphone/tablet,"Frequency domain, δ, 𝜃, ⍺, 𝛽, γ, entropy",Profile of Mood State (POMS),2,1,type of virtual green wall,"overall power, autocorrelation, entropy","frontal, temporal, parietal, occipital",relaxation,"ART, SRT, Biophilia",NA,No,0,0,1 = ICA,1,2, https://doi.org/10.1038/s41598-025-19425-5,01.01.2025,Klaus,04.06.2025,Izzy,,,
Wang et al.,2021,China,Int J Environ Res Pub Health,MDPI,Neuroscience / Psychology / Medicine,"Yuqian Wang, Huahong Qu, Tong Bai, Qibing Chen, Xi Li, Zhenghua Luo, Bingyang Lv, and Mingyan Jiang",Effects of Variations in Color and Organ of Color Expression in Urban Ornamental Bamboo Landscapes on the Physiological and Psychological Responses of College Students,3,Nature & restorative environments,Urban green spaces & parks,Design optimisation,0,300,18-28,22.41,50%,visual,1,still images,stat,Lab,1,Mindset,NeuroSky,consumer,NA,NA-NA,0,NA,NA,0,0,0,0,NA,NA,0,0,"1 - Lying, sitting, or standing with localised movement, for example, finger tapping or button pressing",4 - Head-mounted and requires smartphone/tablet,"Frequency domain, ⍺, 𝛽","Profile of Mood State (POMS), Stait-Trait Anxiety Inventory (STAI)",2,1,Different Bamboo folandscape,"Freq ⍺ , 𝛽",NA,relaxation,NA,Blood Pressure,No,0,0,0 = Black Box,0,2,https://doi.org/10.3390/ijerph18031151,,Klaus,,,,,
Wass et al.,2021,UK,Dev Psychol,APA,Neuroscience / Psychology / Medicine,"SV Wass, CG Smith, L Stubbs, K Clackson, FU Mirza","Physiological Stress, Sustained Attention, Emotion Regulation, and Cognitive Engagement in 12-Month-Old Infants From Urban Environments",2,Urban outdoor environments,Fundamental brain-environment processing,Fundamental understanding,1,57,NA,0.96,44%,visual,1,still images,stat,Lab,1,NA,NA,NA,500,0.1-100,1,128,NA,0,1,1,1,1,16,0,0,"0 - Lying, sitting, or standing still",0 - All equipment off-body mounted and participant tethered via cabling to EEG acquisition equipment,"Frequency domain, 𝜃",Attention,2,0,housing density,PSD 𝜃,whole brain,theta - attention,NA,"ECG, Eyetracking",No,0,1,"1 = ICA, 2 = Auomated",1,0,https://10.1037/dev0001200,24.05.2026,Klaus,,,,,
Won,2024,South Korea,J Environ Sci Int,Korean Environmental Science Technology,Nature / Landscape / Environment / Ecology,Cho Sin Won,Effects of Plant Essential Oils on Physiological Changes,3,Multisensory & environmental stimuli,Olfactory & chemical stimuli,Health & therapeutic applications,0,31,NA,NA,65%,olfactory,9,smells,stat,Lab,1,MindCare,Omnifit,consumer,NA,NA-NA,0,NA,NA,0,0,0,0,NA,NA,0,0,"1 - Lying, sitting, or standing with localised movement, for example, finger tapping or button pressing",0 - All equipment off-body mounted and participant tethered via cabling to EEG acquisition equipment,"Frequency domain, 𝜃, ⍺",questionnaires,2,1,4 different essential oils,"""alpha and theta waves""",NA,stress reduction,NA,PPG,No,0,0,9 = NA,0,0,https://10.5322/JESI.2024.33.5.333,23.05.2026,Klaus,,,,,
Wu et al.,2026,China,Land,MDPI,Nature / Landscape / Environment / Ecology,"Xiaolu Wu, Yuanyuan Ma, Yifan Wang, Junyi Zhao, and Jing Wu",Evaluating the Social Sustainability of Urban Blue-Green Infrastructure: A Visual Perception Study on the Restorative Capacity of Public Spaces,"2, 3",Nature & restorative environments,Urban green spaces & parks,Design optimisation,0,77,18-30,NA,51%,visual,1,still images (HMD),stat - HMD,Lab,1,BitBrain,Bitbrain,medical,NA,NA-NA,0,32,semi-dry,0,0,0,0,NA,NA,0,0,"1 - Lying, sitting, or standing with localised movement, for example, finger tapping or button pressing","3 - Head-mounted EEG system, with additional equipment located in a rucksack or off-body",NA,Perceived Restorativeness Scale (PRS),NA,2,"Park type, Semantic Segmentation, Landscape Elements",NA,NA,restoration,ART,"EDA, PPG, Eyetracking",No,1,0,9 = NA,0,1,https://doi.org/10.3390/land15040642,30.04.2026,Izzy,,,,,"answered column about impedance, selected no (Jessica, 18.06.2026)"
Wu et al.,2022,South Korea,Int J Environ Res Pub Health,MDPI,Neuroscience / Psychology / Medicine,"Yu-Tong Wu, A-Young Lee, Na-Yoon Choi, Sin-Ae Park",Psychophysiological Responses of Cut Flower Fragrances as an Olfactory Stimulation by Measurement of Electroencephalogram in Adults,3,Multisensory & environmental stimuli,Olfactory & chemical stimuli,Health & therapeutic applications,0,30,NA,34.87,23%,visual + olfactory,4,real world,stat,Lab,1,Cognionics Quick-8,Cognionics,medical,NA,NA-NA,0,8,dry electrodes,0,0,1,0,NA,NA,0,0,"1 - Lying, sitting, or standing with localised movement, for example, finger tapping or button pressing",4 - Head-mounted and requires smartphone/tablet,"Frequency domain, ⍺, 𝜃, 𝛽","questionnaires, Profile of Mood State (POMS)",2,1,different flower boquets,"Power in ⍺, 𝛽 and relative power ratios",frontal,relaxation,"ART, SRT",NA,No,0,0,9 = NA,0,1,https://10.3390/ijerph191811639,21.05.2026,Klaus,,,,,
Wu et al.,2025,China,Scientific Reports,Springer Nature,Multidisciplinary,"Linjia Wu, Sirui Song, Yunlong Pan, Junyang Liu, Xin Zeng, Zongyuan Lu, and Qibing Chen",Study on the restorative benefits of four behavioural patterns of urban landscape forests under seasonal change,2,Nature & restorative environments,Forest & woodland exposure,Planning & policy evidence,0,128,18-25,22.53,50%,real world all modalities,6,real world,stat,Real world,2,BitBrain,Bitbrain,medical,NA,NA-NA,0,16,NA,0,0,0,0,NA,NA,0,0,"0 - Lying, sitting, or standing still",4 - Head-mounted and requires smartphone/tablet,"Frequency domain, ⍺, 𝛽",Profile of Mood State (POMS),2,1,"different activities (sitting, walking, talking, lying) in forrest environments","⍺, 𝛽",NA,relaxation vs alertness,"ART, SRT","Blood Pressure, mocap",No,0,0,9 = NA,0,0,https://doi.org/10.1038/s41598-025-09526-6,06.08.2025,Klaus,,,,,
Wu et al.,2024,China,Advanced Engineering Informatics,Elsevier,Engineering / Technology / Acoustics / Thermal,"JC Wu, X Chen, MF Zhao, CQ Xue",Cognitive characteristics in wayfinding tasks in commercial and residential districts during daytime and nighttime: A comprehensive neuroergonomic study,2,Urban outdoor environments,"""Wayfinding, navigation & spatial cognition""",Planning & policy evidence,0,43,21-30,NA,53%,visual,1,still images (HMD),stat - HMD,Lab,1,BrainProducts Actichamp,Brain Products,medical,1000,0.05-100,1,32,wet electrodes,1,1,1,1,0.1,40,0,0,"1 - Lying, sitting, or standing with localised movement, for example, finger tapping or button pressing",0 - All equipment off-body mounted and participant tethered via cabling to EEG acquisition equipment,"Frequency domain, ⍺, 𝛽, 𝜃",Mental Load,2,1,Different urban areas at night vs. day,"Power in ⍺, 𝛽, pupil diameter, navigation decisions","frontal, occipital, parietal",mental load,NA,Pupillometry,No,0,0,"1 = ICA, 9 = NA",1,1,https://10.1016/j.aei.2024.102534,22.05.2026,Klaus,,,,,"changed impedance to yes (Jessica, 19.06.2026)"
Wu et al.,2025,China,Trees Forests People,Elsevier,Nature / Landscape / Environment / Ecology,"HQ Wu, ZN Chen, GY Wang, XL Tang",Does forest immersion benefit everyone? Investigating baseline stress and scene type as thresholds for neuropsychological restoration,3,Nature & restorative environments,Forest & woodland exposure,Design optimisation,0,120,20-44,31.47,50%,real world all modalities,7,real world,mobile & stat,Real world,2,Emotiv EPOC X,Emotiv,consumer,128,0.2-45,1,14,NA,1,0,1,1,1,45,0,0,3 - Unconstrained walking/cyclin,4 - Head-mounted and requires smartphone/tablet,"Time domain, LPP, Frequency domain, 𝜃, ⍺, 𝛽, Alpha asymmetry","questionnaires, PANAS, Stait-Trait Anxiety Inventory (STAI), Connectedness to Nature","1, 2",1,sitting and walking in different forest environments,"FAA, PSD 𝜃, ⍺, 𝛽, LPP ","frontal, central","stress reduction, restoration",NA,NA,No,1,0,"1 = ICA, 2 = Auomated",1,0,https://10.1016/j.tfp.2025.100977,23.05.2026,Klaus,,,,,
Wu et al.,2023,China,Forests,MDPI,Nature / Landscape / Environment / Ecology,"Linjia Wu, Shixian Luo, Di Li, Qibing Chen, Jingting Li, and Jiacai Wen",Effects of Deciduous Forests on Adolescent Emotional Health in Urban Areas: An Example from the Autumn Ginkgo Forest in Chengdu,"3, 2",Nature & restorative environments,Forest & woodland exposure,Planning & policy evidence,0,80,NA,23.52,50%,real world all modalities,6,real world,mobile,Real world,2,Emotiv EPOC+,Emotiv,consumer,NA,NA-NA,0,14,NA,1,0,0,0,NA,NA,0,0,3 - Unconstrained walking/cyclin,4 - Head-mounted and requires smartphone/tablet,Proprietary output,Profile of Mood State (POMS),9,2,Sitting vs. Walking in Nature,propriatory Emotiv,,"engagement, excitement, stress, relaxation, interest, focus",ART,"Blood Pressure, ECG",No,0,0,0 = Black Box,0,NA,https://doi.org/10.3390/f14061099,13.01.2026,Izzy,,,,,"answered column about impedance, selected no (Jessica, 18.06.2026)"
Wu et al.,2024,China,Front Global Change,,,"Linjia Wu, Yixuan Zhang, Meiqin Mao, Chunyu Li, Qingmei Zhang, Wei Zhao, Xin Sui, Jingting Li, Junbin Ma, Yanlin Li, and Qidi Dong",Evergreen or seasonal? Quantitative research on the color of urban scenic forests based on stress—attention electroencephalogram feedback,2,Nature & restorative environments,Forest & woodland exposure,Design optimisation,0,100,NA,23.42,50%,visual,1,still images,stat,Lab,1,BitBrain,Bitbrain,medical,NA,NA-NA,0,14,semi-dry,1,0,1,1,1,40,0,0,"1 - Lying, sitting, or standing with localised movement, for example, finger tapping or button pressing",4 - Head-mounted and requires smartphone/tablet,Frequency domain,NA,2,1,different gcolors of urban forest images vs urban built images,"Power in ⍺, 𝛽 and relative power ratios","frontal, parietal, occipital, central",relaxation vs arousal,ART,NA,No,0,0,9 = NA,0,1,https://doi.org/10.3389/ffgc.2024.1495806,,Klaus,,,,,
Xiang et al.,2025,China,J Asian Architecture and Building Engineering,Taylor & Francis,Architecture / Design / Built Environment,"Xu Xiang, Wei Shang, and Wendi Huang",EEG-Eye tracking integration for neural stress responses to environmental cleanliness versus spatial function in China’s unit-based community renewal,2,Urban outdoor environments,Urban planning & public space,Planning & policy evidence,1,30,60-80,NA,50%,visual,1,still images,stat,Lab,1,Sichiray Taurus,Sichiray,consumer,NA,NA-NA,0,1,dry electrodes,0,0,0,0,NA,NA,0,0,"1 - Lying, sitting, or standing with localised movement, for example, finger tapping or button pressing",4 - Head-mounted and requires smartphone/tablet,"Frequency domain, ⍺, 𝛽",NA,2,1,"spatial typology, cleanliness regulation, and integrated facilities in Chinese community settings",𝛽/⍺ ration,NA,alertness,NA,Eyetracking,No,0,0,9 = NA,0,NA,https://doi.org/10.1080/13467581.2025.2589535,22.11.2025,Klaus,,,,,
Xiao et al.,2024,China,Front Architectural Research,KeAi,Architecture / Design / Built Environment,"Xinyao Xiao, Xinxin Li, Xuefan Zhou, Jian Kang, Jiahua Luo, and Lihua Yin",Modulatory effects of the landscape sequences on pedestrians emotional states using EEG,2,Urban outdoor environments,Streetscapes & pedestrian experience,Planning & policy evidence,1,24,NA,NA,NA,real world all modalities,6,real world,mobile,Real world,2,NA,NA,NA,NA,NA-NA,0,NA,NA,0,0,0,0,NA,NA,0,0,3 - Unconstrained walking/cyclin,5 - Head-mounted and does not require any additional equipment,"𝜃, ⍺, 𝛽, γ, Frequency domain",NA,2,1,greenery and other factors,"PSD 𝜃, ⍺, 𝛽, γ",NA,"arousal, attention, relaxation",NA,GPS,No,0,0,9 = NA,0,NA,https://doi.org/10.1016/j.foar.2024.05.002,22.11.2025,Klaus,,,,,
Xie et al.,2021,China,Int J Environ Res Pub Health,MDPI,Neuroscience / Psychology / Medicine,"JF Xie, BY Liu, M Elsadek",How Can Flowers and Their Colors Promote Individuals' Physiological and Psychological States during the COVID-19 Lockdown?,3,Nature & restorative environments,Biophilic & multisensory nature interventions,Design optimisation,0,50,NA,30.62,50%,visual,1,real world,stat,Lab,1,Emotiv EPOC,Emotiv,consumer,NA,0.5-50,1,14,semi-dry,1,0,0,0,NA,NA,0,1,"1 - Lying, sitting, or standing with localised movement, for example, finger tapping or button pressing",4 - Head-mounted and requires smartphone/tablet,"Frequency domain, ⍺","questionnaires, Profile of Mood State (POMS)",2,1,3 different colored rose boquets ,PSD ⍺,frontal,"emotion, relaxation","ART, SRT","ECG, EDA",No,0,0,"1 = ICA, 9 = NA",1,NA,10.3390/ijerph181910258,20.05.2026,Klaus,,,,,
Xing et al.,2025,China,Landscape Archit Front,Higher Education Press,Architecture / Design / Built Environment,"Gefan XING, Fei GAO, Jiayi TANG, Bo DONG, Xing ZHANG",The Differences of Emotional Restoration Effects of Colored-Leaves Plant Communities in Urban Parks,3,Nature & restorative environments,Urban green spaces & parks,Design optimisation,1,48,18-25,21,52%,visual,1,still images,stat,Lab,1,Synamps2,Compumedics Neuroscan,medical,NA,NA-NA,0,NA,NA,0,0,0,0,NA,NA,0,0,"0 - Lying, sitting, or standing still",0 - All equipment off-body mounted and participant tethered via cabling to EEG acquisition equipment,"Frequency domain, ⍺, 𝛽",PANAS,2,1,color of urban greenery,𝛽/⍺ ratio,whole brain,stress,"ART, SRT",NA,No,0,0,9 = NA,0,NA,https://10.15302/J-LAF-1-020114,15.12.2025,Izzy,28.03.2026,Klaus,,,"answered column about impedance, selected no (Jessica, 19.06.2026)"
Xiong et al.,2023,China,Urban Forestry Urban Green,Elsevier,Nature / Landscape / Environment / Ecology,"Xi Xiong, Hexian Jin, Wenhao Hu, Chengcheng Zeng, Qian Huang, Xue Cui, Mingke Zhang, and Yalu Jin",Benefits of Jasminum polyanthum's natural aromas on human emotions and moods,3,Nature & restorative environments,Olfactory & chemical stimuli,Design optimisation,0,48,18-25,22.1,50%,real world all modalities,6,real world,stat,Lab,1,Emotiv EPOC X,Emotiv,consumer,256,NA-NA,0,14,NA,1,0,1,1,4,30,0,0,"1 - Lying, sitting, or standing with localised movement, for example, finger tapping or button pressing",4 - Head-mounted and requires smartphone/tablet,"𝜃, ⍺, 𝛽, Frequency domain",Profile of Mood State (POMS),2,1,smell of flowers in a room,PSD ⍺,"frontal, parietal, temporal, occipital","relaxation, alertness",ART,NA,No,0,0,1 = ICA,1,NA,https://doi.org/10.1016/j.ufug.2023.128010,,Klaus,,,,,
Yan & Li,2025,China,Buildings,MDPI,Architecture / Design / Built Environment,Xinyu Yan and Yifei Li ,Research on Rural Landscape Emotions Based on EEG Technology and VIKOR-GRA Model: A Case Study of Xiedian Ancient Village in Macheng City,2,Urban outdoor environments,"""Rural, village & agricultural landscapes""",Planning & policy evidence,0,30,NA,24.3,47%,visual,1,still images,stat,Lab,1,TGAM,NeuroSky,consumer,512,NA-NA,0,NA,NA,0,0,0,0,NA,NA,0,1,"1 - Lying, sitting, or standing with localised movement, for example, finger tapping or button pressing",NA,"Frequency domain, ⍺, 𝛽",NA,2,1,"Features of envrionments in rural town (material, spatial perception, cultural cognition)",⍺/𝛽 ratio,NA,cognitive load vs relaxation,NA,NA,No,0,0,9 = NA,1,0,https://doi.org/10.3390/buildings15173002,28.10.2025,Izzy,,,,,
Yang et al.,2026,China,"Environment, Development and Sustainability",Springer Nature,Nature / Landscape / Environment / Ecology,"Siyao Yang, Yu Gao, Shu Li, Weikang Zhang, Huan Meng, Zhi Zhang, and Tong Zhang",Exploring the restorative potential of snow-covered forests through VR with implications for sustainable forest planning,3,Nature & restorative environments,Forest & woodland exposure,Planning & policy evidence,0,280,17-26,NA,21%,visual,1,video immersive (HMD),stat - HMD,Lab,1,Sichiray Mindband,Sichiray,consumer,NA,NA-NA,0,NA,NA,0,0,0,0,NA,NA,0,0,"1 - Lying, sitting, or standing with localised movement, for example, finger tapping or button pressing",4 - Head-mounted and requires smartphone/tablet,"Frequency domain, ⍺, 𝛽","questionnaires, Profile of Mood State (POMS)",2,1,winter videos of different tree forms with snow,"PSD ⍺, 𝛽",NA,restoration,ART,"ECG, Blood Pressure",No,0,0,9 = NA,0,1,https://doi.org/10.1007/s10668-026-07527-7,19.05.2026,Klaus,,,,,
